state,district
West Bengal,Kolkata
West Bengal,Murshidabad
West Bengal,Nadia
West Bengal,North 24 Parganas
West Bengal,Paschim Bardhaman
West Bengal,Purba Bardhaman
West Bengal,Purba Medinipur
West Bengal,South 24 Parganas
West Bengal,Unknown
Bihar,Darbhanga
Bihar,Madhubani
Bihar,Purnia
Haryana,Jhajjar
Haryana,Unknown
Jharkhand,Jamtara
Jammu and Kashmir,Reasi
Maharashtra,Bhandara
Madhya Pradesh,Harda
Odisha,Koraput
Punjab,Tarn Taran
Uttar Pradesh,Gorakhpur
Uttar Pradesh,Jhansi
Bihar,Araria
Bihar,Sheikhpura
Bihar,Sitamarhi
Chhattisgarh,Surajpur
Madhya Pradesh,Ashoknagar
Madhya Pradesh,Burhanpur
Madhya Pradesh,Rewa
Madhya Pradesh,Shahdol
Bihar,West Champaran
Odisha,Deogarh
Odisha,Jharsuguda
Odisha,Kendujhar
Punjab,Bathinda
Rajasthan,Baran
Uttar Pradesh,Kanpur Dehat
Bihar,Katihar
Jharkhand,Godda
Madhya Pradesh,Anuppur
Odisha,Balangir
Punjab,Fazilka
Uttar Pradesh,Deoria
Uttar Pradesh,Siddharthnagar
Madhya Pradesh,Katni
Odisha,Ganjam
Tripura,Dhalai
Uttar Pradesh,Mahoba
Bihar,Sheohar
Chhattisgarh,Kabeerdham
Gujarat,Devbhumi Dwarka
Madhya Pradesh,Niwari
Madhya Pradesh,Panna
West Bengal,Birbhum
West Bengal,Malda
West Bengal,Other State
West Bengal,Paschim Medinipur
Bihar,Samastipur
Himachal Pradesh,Mandi
Karnataka,Haveri
Madhya Pradesh,Satna
Sikkim,Unknown
Andhra Pradesh,Other State
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli
Gujarat,Junagadh
Jharkhand,Dumka
Tamil Nadu,Krishnagiri
Uttar Pradesh,Amethi
Uttar Pradesh,Kushinagar
Madhya Pradesh,Neemuch
Odisha,Jagatsinghpur
Odisha,Mayurbhanj
Rajasthan,BSF Camp
Rajasthan,Jalore
Uttar Pradesh,Chitrakoot
Andhra Pradesh,Vizianagaram
Bihar,Kishanganj
Gujarat,Other State
Himachal Pradesh,Shimla
Haryana,Mahendragarh
Madhya Pradesh,Jhabua
Rajasthan,Sirohi
Bihar,Khagaria
Bihar,Saharsa
Bihar,Supaul
Madhya Pradesh,Guna
Madhya Pradesh,Sehore
Uttar Pradesh,Fatehpur
Bihar,Muzaffarpur
Haryana,Rewari
Maharashtra,Unknown
Madhya Pradesh,Bhind
Odisha,Angul
Odisha,Nayagarh
Uttar Pradesh,Farrukhabad
Uttar Pradesh,Hamirpur
Uttar Pradesh,Lalitpur
Uttarakhand,Uttarkashi
Himachal Pradesh,Bilaspur
Karnataka,Shivamogga
Odisha,Boudh
Puducherry,Karaikal
Uttar Pradesh,Sonbhadra
West Bengal,Jhargram
West Bengal,Uttar Dinajpur
Maharashtra,Wardha
Madhya Pradesh,Mandla
Madhya Pradesh,Seoni
Uttar Pradesh,Ambedkar Nagar
Uttar Pradesh,Ballia
Bihar,Jamui
Jharkhand,East Singhbhum
Karnataka,Hassan
Karnataka,Kolar
Karnataka,Yadgir
Madhya Pradesh,Sidhi
Tamil Nadu,Airport Quarantine
Gujarat,Amreli
Jharkhand,Latehar
Uttar Pradesh,Chandauli
Chhattisgarh,Balod
Chhattisgarh,Janjgir Champa
Chhattisgarh,Koriya
Madhya Pradesh,Damoh
Madhya Pradesh,Datia
Madhya Pradesh,Umaria
Tamil Nadu,Other State
Tripura,Khowai
Chhattisgarh,Baloda Bazar
Chhattisgarh,Gariaband
Jharkhand,Lohardaga
Jharkhand,Ramgarh
Jammu and Kashmir,Punch
Odisha,Gajapati
Odisha,Kandhamal
Odisha,Malkangiri
Odisha,Nuapada
Odisha,Rayagada
Odisha,Sambalpur
Tamil Nadu,Railway Quarantine
West Bengal,Dakshin Dinajpur
Chhattisgarh,Raigarh
Chhattisgarh,Surguja
Jharkhand,West Singhbhum
Jammu and Kashmir,Doda
Karnataka,Koppal
Karnataka,Raichur
Andhra Pradesh,Unknown
Chhattisgarh,Balrampur
Chhattisgarh,Bametara
Chhattisgarh,Bastar
Chhattisgarh,Bijapur
Chhattisgarh,Dakshin Bastar Dantewada
Chhattisgarh,Dhamtari
Chhattisgarh,Jashpur
Chhattisgarh,Kondagaon
Chhattisgarh,Mahasamund
Chhattisgarh,Mungeli
Chhattisgarh,Narayanpur
Chhattisgarh,Sukma
Chhattisgarh,Uttar Bastar Kanker
Jharkhand,Gumla
Jharkhand,Saraikela-Kharsawan
Karnataka,Chikkamagaluru
Maharashtra,Gadchiroli
Madhya Pradesh,Rajgarh
Madhya Pradesh,Singrauli
Nagaland,Dimapur
Nagaland,Kohima
Nagaland,Mokokchung
Nagaland,Mon
Nagaland,Peren
Nagaland,Phek
Nagaland,Tuensang
Nagaland,Wokha
Tripura,Sipahijala
Tripura,South Tripura
Tripura,Unknown
Tripura,Unokoti
Tripura,West Tripura
Uttarakhand,Bageshwar
Uttarakhand,Chamoli
Uttarakhand,Champawat
Uttarakhand,Pithoragarh
Uttarakhand,Rudraprayag
Uttarakhand,Tehri Garhwal
Bihar,Unknown
Chhattisgarh,Unknown
Himachal Pradesh,Kullu
Jharkhand,Chatra
Meghalaya,West Garo Hills
Madhya Pradesh,Chhatarpur
Rajasthan,Ganganagar
Chhattisgarh,Gaurela Pendra Marwahi
Madhya Pradesh,Balaghat
Odisha,Nabarangapur
West Bengal,Bankura
Arunachal Pradesh,Papum Pare
Haryana,Foreign Evacuees
Madhya Pradesh,Narsinghpur
Uttarakhand,Unknown
Andhra Pradesh,Foreign Evacuees
Jharkhand,Unknown
Karnataka,Ramanagara
Meghalaya,North Garo Hills
Odisha,Bargarh
Puducherry,Unknown
Jharkhand,Khunti
Jharkhand,Pakur
Nagaland,Kiphire
Odisha,Subarnapur
Rajasthan,Bundi
West Bengal,Purulia
Arunachal Pradesh,Changlang
Meghalaya,South West Garo Hills
Meghalaya,West Khasi Hills
West Bengal,Alipurduar
Jharkhand,Sahibganj
West Bengal,Cooch Behar
Arunachal Pradesh,Anjaw
Arunachal Pradesh,Capital Complex
Arunachal Pradesh,East Kameng
Arunachal Pradesh,East Siang
Arunachal Pradesh,Kamle
Arunachal Pradesh,Kra Daadi
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Lepa Rada
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Namsai
Arunachal Pradesh,Pakke Kessang
Arunachal Pradesh,Shi Yomi
Arunachal Pradesh,Siang
Arunachal Pradesh,Tawang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Upper Dibang Valley
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Kameng
Arunachal Pradesh,West Siang
Karnataka,Chamarajanagara
Himachal Pradesh,Kinnaur
Meghalaya,West Jaintia Hills
Nagaland,Unknown
Mizoram,Lunglei
Mizoram,Mamit
Mizoram,Saitual
Mizoram,Lawngtlai
Chhattisgarh,Other State
Mizoram,Champhai
Mizoram,Khawzawl
Mizoram,Saiha
Nagaland,Zunheboto
Dadra and Nagar Haveli and Daman and Diu,Daman
Meghalaya,Ribhoi
Meghalaya,Unknown
Mizoram,Kolasib
Odisha,Others
Mizoram,Serchhip
Dadra and Nagar Haveli and Daman and Diu,Diu
Nagaland,Others
Puducherry,Yanam
Nagaland,Longleng
Himachal Pradesh,Lahaul and Spiti
Meghalaya,East Jaintia Hills
Madhya Pradesh,Unknown
Bihar,Other State
Mizoram,Unknown
Meghalaya,East Garo Hills
Meghalaya,South Garo Hills
Mizoram,Hnahthial
Meghalaya,South West Khasi Hills
Odisha,State Pool
Lakshadweep,Lakshadweep
